,,,,,Costo
Fecha,,Precio por M2 en dolares,,MATERIAL,M2 U$S
3-2-2026,Reflectivo Dimagraf Panal de Abeja,$5.00,,AUT,$5.81
3-2-2026,Reflectivo Chino HCSP GI,$5.00,,AUT FP,$15.84
3-2-2026,Avery GIP T-2500,$20.88,,AUT Imán,$23.10
3-2-2026,Tinta Intex HQ Nutec Ruby,$1.56,,PAI,$9.21
3-2-2026,Vinilo LX Hausys 6700,$5.00,,PAI LA,$12.69
3-2-2026,PVC 3mm,$4.80,,PVC 3mm,$8.36
3-2-2026,PVC 5mm,$6.30,,PVC 5mm,$9.86
3-2-2026,PAI 0.8mm Tecnolam,$5.65,,PVC LA 3mm,$11.84
3-2-2026,Chapa Gal 1.25mm C18,$18.45,,PVC LA 5mm,$13.34
3-2-2026,Chapa Gal 1.6mm C16,$23.62,,PVC CHI 3mm,$15.36
3-2-2026,Chapa Gal 2mm C14,$29.52,,PVC CHI 5mm,$16.86
3-2-2026,"Plástico Corrugado 2,3mm",$2.28,,PVC FT 3mm,$28.36
3-2-2026,Mano de Obra m² de Impresión,$2.00,,PVC FT 5mm,$29.86
3-2-2026,Transfer Adere Papel,$0.85,,FT,$21.56
3-2-2026,CLEAR DPI,$1.48,,FT FP,$31.59
3-2-2026,Vinilo Impresión Promedio,$2.25,,GAL AUT 1.25,$40.04
3-2-2026,Corte Chapa 1.25 mm,$13.78,,GAL AUT 1.6,$49.07
3-2-2026,Corte Chapa 1.6 mm,$17.64,,GAL CHI 1.6,$51.82
3-2-2026,Corte Chapa 2 mm,$22.05,,GAL GIP 1.6,$79.93
3-2-2026,Fotolumiscente,$18.00,,PC,$5.84
3-2-2026,Floor Protection,$8.03,,GIP Corte,$28.73
3-2-2026,"Imán 0,7",$15.29,,GIP Corte Iman,$46.02
,,,,GIP Corte PVC,$35.53
,,,,CHI Impreso,$8.56
